timestamp,emg1,emg2,emg3,label
2747182,1152,45147,37833,0
2747188,1440,45995,36712,0
2747193,1616,42458,33240,0
2747198,1648,42554,27302,0
2747203,1328,39961,39769,0
2747208,1600,43978,39673,0
2747213,1536,38873,42346,0
2747218,1168,37737,33608,0
2747223,1504,39417,37945,0
2747228,1712,43066,41050,0
2747233,1712,39705,37657,0
2747238,1536,39097,31831,0
2747243,1280,36584,42890,0
2747248,1856,44442,40169,0
2747253,1888,41578,33928,0
2747258,1616,38489,32599,0
2747263,1312,38777,40617,0
2747268,1488,43882,41418,0
2747313,1712,39465,36808,0
2747318,1552,38825,31527,0
2747323,1488,37849,41034,0
2747328,1280,44858,41162,0
2747333,1296,42826,35256,0
2747338,1488,38201,31159,0
2747343,1616,37001,42250,0
2747348,1488,44890,41594,0
2747353,1312,39993,38681,0
2747358,1968,36985,31079,0
2747363,1536,39417,38473,0
2747368,1360,45307,43578,0
2747373,1840,41962,35240,0
2747378,1312,29223,37689,0
2747383,1216,32984,39545,0
2747388,1664,43978,42474,0
2747393,1440,42090,38537,0
2747398,1536,32199,28839,0
2747403,1600,36680,38089,0
2747410,1664,42266,43274,0
2747415,1968,39369,34552,0
2747420,1104,31815,36472,0
2747425,1648,38025,43722,0
2747430,1680,42954,41658,0
2747435,1168,39145,36232,0
2747440,1296,32615,42202,0
2747445,1280,38953,44234,0
2747450,1664,41690,41802,0
2747455,1264,39129,37913,0
2747460,1216,34184,38185,0
2747465,1728,37049,44234,0
2747470,1280,38089,48811,0
2747475,1216,37257,38697,0
2747480,1408,36808,37737,0
2747485,1520,37545,43658,0
2747490,1312,45083,41738,0
2747495,1264,34712,39801,0
2747500,1344,32055,41498,0
2747505,1184,38793,42922,0
2747510,1376,42474,42234,0
2747515,1888,46347,35192,0
2747520,1088,32872,35416,0
2747525,1296,36424,46939,0
2747530,1328,42282,40873,0
2747535,1216,37817,36873,0
2747540,1168,34872,35352,0
2747545,1664,36280,46235,0
2747550,1616,41194,44970,0
2747555,1248,38505,38137,0
2747560,1728,35320,37081,0
2747565,1408,39065,41770,0
