timestamp,value,label
1335982,39481,normal
1336083,38841,normal
1336184,39273,normal
1336285,39001,normal
1336386,38633,normal
1336540,39833,normal
1336641,38953,normal
1336742,38873,normal
1336843,38857,normal
1336944,38137,normal
1337045,38489,normal
1337146,37625,normal
1337248,25382,blink
1337349,43450,normal
1337502,43098,normal
1337604,40905,normal
1337706,23413,normal
1337808,41850,normal
1337910,43818,normal
1338012,41834,normal
1338161,40377,normal
1338263,22581,blink
1338365,42138,normal
1338467,44490,normal
1338612,41274,normal
1338750,37641,normal
1338935,43274,normal
1339072,41994,normal
1339209,40185,normal
1339347,24902,blink
1339484,44250,normal
1339623,42682,normal
1339760,39609,normal
1339898,34936,normal
1340036,43482,normal
1340174,39609,normal
1340312,39369,normal
1340450,42122,normal
1340587,41882,normal
1340778,39177,normal
1340915,22117,blink
1341053,45067,normal
1341191,41242,normal
1341330,40265,normal
1341468,39497,normal
1341607,35784,normal
1341745,44010,normal
1341884,40553,normal
1342023,39961,normal
1342163,33208,normal
1342301,41738,normal
1342441,40681,normal
1342632,37465,normal
1342772,40777,normal
1342912,45643,normal
1343052,40505,normal
1343192,37769,normal
1343331,31687,blink
1343470,44890,normal
1343610,40905,normal
1343749,39561,normal
1343889,35368,normal
1344029,42538,normal
1344168,42522,normal
1344310,40297,normal
1344502,38857,normal
1344643,43274,normal
1344784,43658,normal
1344924,40809,normal
1345065,39689,normal
1345206,29287,blink
1345346,42874,normal
1345486,41258,normal
1345626,39817,normal
1345768,28470,blink
1345908,44490,normal
1346049,42458,normal
1346189,39993,normal
1346383,38281,normal
1346523,33960,normal
1346664,47627,normal
1346805,41146,normal
1346947,39609,normal
1347088,37849,normal
1347229,31895,blink
1347371,47627,normal
1347513,42474,normal
1347655,40537,normal
1347797,39849,normal
1347938,33048,normal
1348080,46491,normal
1348274,40905,normal
1348416,40409,normal
1348558,31399,blink
1348701,38361,normal
1348843,45563,normal
1348985,41738,normal
1349127,39801,normal
1349270,38457,normal
1349413,28342,blink
1349556,48843,normal
1349699,45611,normal
1349842,41098,normal
1349984,39993,normal
1350181,29063,blink
1350324,47163,normal
1350467,43146,normal
1350610,41082,normal
1350753,39785,normal
1350896,25606,blink
1351040,38281,normal
1351183,47275,normal
1351328,42794,normal
1351472,40745,normal
1351617,39497,normal
1351760,26662,blink
1351904,49196,normal
1352100,42186,normal
1352245,40681,normal
1352389,39993,normal
1352534,39113,normal
1352678,39497,normal
1352823,39433,normal
1352968,39577,normal
1353114,28871,blink
1353258,44458,normal
1353404,25286,normal
1353549,45883,normal
1353694,44586,normal
1353838,25462,blink
1354036,46795,normal
1354181,42010,normal
1354326,33672,normal
1354471,45323,normal
1354616,40361,normal
1354762,40329,normal
1354907,45387,normal
1355053,27862,blink
1355199,45771,normal
1355345,44026,normal
1355491,21429,normal
1355639,48651,normal
1355785,41194,normal
1355984,45899,normal
1356130,45627,normal
1356276,42858,normal
1356423,38649,normal
1356570,48475,normal
1356717,43242,normal
1356864,43690,normal
1357013,45579,normal
1357160,42474,normal
1357307,32231,normal
1357454,47979,normal
1357601,42634,normal
1357748,28614,blink
1357948,53517,normal
1358096,44058,normal
1358244,41882,normal
1358393,49916,normal
1358540,39753,normal
1358690,47579,normal
1358839,46171,normal
1358987,27958,blink
1359135,48827,normal
1359284,42186,normal
1359432,22741,normal
1359580,44954,normal
1359727,41210,normal
1359929,35752,normal
1360078,44522,normal
1360226,41562,normal
1360374,40713,normal
1360523,33192,normal
1360673,44682,normal
1360822,41082,normal
1360971,38201,normal
1361121,44378,normal
1361269,40329,normal
1361419,29351,blink
1361568,44970,normal
1361718,39897,normal
1361921,40713,normal
1362071,42730,normal
1362221,38537,normal
1362371,43898,normal
1362521,43530,normal
1362671,40809,normal
1362821,31255,blink
1362970,45499,normal
1363120,40905,normal
1363270,24982,normal
1363423,44538,normal
1363573,40665,normal
1363725,37689,normal
1363961,45563,normal
1364096,41306,normal
1364231,39433,normal
1364367,29383,blink
1364503,46891,normal
1364638,40986,normal
1364773,39305,normal
1364909,39097,normal
1365044,22021,blink
1365179,47499,normal
1365314,44250,normal
1365449,26838,normal
1365584,46539,normal
1365774,40745,normal
1365910,38745,normal
1366046,39113,normal
1366182,39529,normal
1366318,39705,normal
1366454,39353,normal
1366590,39145,normal
1366726,39577,normal
1366862,39481,normal
1367000,39513,normal
1367137,38953,normal
1367274,38745,normal
1367411,37833,normal
1367599,43530,normal
1367738,22837,blink
1367875,40361,normal
1368012,46107,normal
1368150,40121,normal
1368287,37721,normal
1368425,44250,normal
1368564,33400,normal
1368701,45018,normal
1368841,44682,normal
1368978,37289,normal
1369116,43466,normal
1369254,43770,normal
1369443,38121,normal
1369581,42794,normal
1369718,44746,normal
1369857,40489,normal
1369996,38857,normal
1370134,41258,normal
1370272,44714,normal
1370410,41258,normal
1370549,38057,normal
1370687,41946,normal
1370826,42746,normal
1370966,40537,normal
1371105,39257,normal
1371297,39257,normal
1371437,43978,normal
1371576,40889,normal
1371715,26982,blink
1371855,49035,normal
1371994,43306,normal
1372141,38329,normal
1372281,37769,normal
1372421,45787,normal
1372560,40377,normal
1372700,24742,blink
1372839,38825,normal
1372980,46571,normal
1373173,41178,normal
1373314,39497,normal
1373455,38569,normal
1373595,38777,normal
1373735,39145,normal
1373875,39129,normal
1374016,38649,normal
1374157,38697,normal
1374297,39465,normal
1374439,39049,normal
1374579,39737,normal
1374721,41114,normal
1374861,38169,normal
1375055,38425,normal
1375196,39401,normal
1375338,38153,normal
1375479,39721,normal
1375621,37433,normal
1375763,42970,normal
1375905,42970,normal
1376046,25398,blink
1376188,43642,normal
1376329,44602,normal
1376471,40857,normal
1376612,21253,blink
1376755,46763,normal
1376950,42506,normal
1377093,39961,normal
1377235,39641,normal
1377378,40457,normal
1377520,40153,normal
1377663,39993,normal
1377806,38889,normal
1377949,39625,normal
1378092,38857,normal
1378234,39161,normal
1378377,38729,normal
1378519,37273,normal
1378662,38601,normal
1378856,39593,normal
1379000,39273,normal
1379143,38889,normal
1379286,38361,normal
1379429,38889,normal
1379573,39065,normal
1379717,39305,normal
1379861,39049,normal
1380005,39241,normal
1380150,29399,blink
1380293,43066,normal
1380437,43402,normal
1380581,36824,normal
1380778,44922,normal
1380922,41034,normal
1381067,24005,blink
1381211,46427,normal
1381356,41114,normal
1381500,34712,normal
1381646,43114,normal
1381791,40377,normal
1381937,43514,normal
1382081,43386,normal
1382227,34392,normal
1382371,45931,normal
1382517,42250,normal
1382714,24469,blink
1382860,45835,normal
1383005,41834,normal
1383151,40009,normal
1383296,42122,normal
1383441,43050,normal
1383587,40393,normal
1383733,30935,blink
1383879,44602,normal
1384025,41322,normal
1384171,39673,normal
1384318,23829,blink
1384463,46715,normal
1384667,41050,normal
1384813,39481,normal
1384959,39593,normal
1385105,38377,normal
1385252,39049,normal
1385399,40041,normal
1385545,39593,normal
1385693,39609,normal
1385839,39497,normal
1385986,39673,normal
1386132,39657,normal
1386280,39257,normal
1386427,39529,normal
1386625,39561,normal
1386772,39049,normal
1386919,38809,normal
1387068,39321,normal
1387216,39001,normal
1387364,40633,normal
1387511,38937,normal
1387659,33432,normal
1387807,43578,normal
1387956,40553,normal
1388104,39977,normal
1388252,39369,normal
1388400,42682,normal
1388600,41306,normal
1388748,38937,normal
1388896,36232,normal
1389044,43594,normal
1389193,40617,normal
1389341,40025,normal
1389490,41770,normal
1389638,43194,normal
1389787,40569,normal
1389936,26678,blink
1390085,43050,normal
1390234,41290,normal
1390383,39289,normal
1390586,31495,blink
1390735,44218,normal
1390884,40665,normal
1391035,39241,normal
1391184,39369,normal
1391334,34296,normal
1391483,43402,normal
1391633,39721,normal
1391782,38617,normal
1391932,42570,normal
1392082,42570,normal
1392232,39961,normal
1392382,34840,normal
1392584,43322,normal
1392768,39913,normal
1392903,38921,normal
1393038,39481,normal
1393173,41706,normal
1393308,40793,normal
1393443,40009,normal
1393578,40169,normal
1393713,39609,normal
1393848,42538,normal
1393983,41562,normal
1394119,40793,normal
1394255,40553,normal
1394442,41642,normal
1394578,42586,normal
1394714,41258,normal
1394850,40569,normal
1394987,38873,normal
1395124,38361,normal
1395260,40329,normal
1395396,39545,normal
1395533,39513,normal
1395669,39609,normal
1395806,38505,normal
1395943,38969,normal
1396081,39513,normal
1396269,38681,normal
1396405,39321,normal
1396542,39673,normal
1396679,39193,normal
1396816,38409,normal
1396954,38793,normal
1397092,39257,normal
1397229,38649,normal
1397366,38953,normal
1397503,39321,normal
1397640,39097,normal
1397777,39289,normal
1397915,38441,normal
1398105,39177,normal
1398243,39017,normal
1398384,39769,normal
1398523,31431,blink
1398662,43034,normal
1398800,41434,normal
1398938,32663,normal
1399076,45034,normal
1399215,45195,normal
1399354,42090,normal
1399492,25494,blink
1399631,45259,normal
1399769,44250,normal
1399960,41386,normal
1400099,33480,normal
1400239,43114,normal
1400378,42314,normal
1400517,40233,normal
1400656,39321,normal
1400796,34728,normal
1400935,44970,normal
1401074,40489,normal
1401213,39737,normal
1401354,38697,normal
1401493,34104,normal
1401633,43914,normal
1401824,40281,normal
1401964,39881,normal
1402104,28839,blink
1402244,43514,normal
1402385,41530,normal
1402527,39209,normal
1402667,38809,normal
1402807,31351,blink
1402948,44810,normal
1403090,39353,normal
1403231,40681,normal
1403373,24421,blink
1403514,44010,normal
1403706,40681,normal
1403847,39833,normal
1403988,37929,normal
1404129,40297,normal
1404271,41546,normal
1404413,41018,normal
1404556,40041,normal
1404697,41834,normal
1404839,41914,normal
1404981,41578,normal
1405124,40249,normal
1405265,40057,normal
1405409,29303,blink
1405602,41002,normal
1405744,39737,normal
1405885,38505,normal
1406028,39065,normal
1406170,40377,normal
1406313,42298,normal
1406456,40057,normal
1406600,39881,normal
1406742,28967,blink
1406885,43178,normal
1407027,41402,normal
1407171,40441,normal
1407314,39129,normal
1407518,42666,normal
1407662,40681,normal
1407806,39929,normal
1407950,39241,normal
1408093,30503,blink
1408237,42330,normal
1408380,41674,normal
1408524,39705,normal
1408669,36248,normal
1408812,44138,normal
1408957,42282,normal
1409101,39929,normal
1409245,39161,normal
1409440,41226,normal
1409584,41850,normal
1409729,40617,normal
1409873,39561,normal
1410019,38633,normal
1410163,38617,normal
1410307,38969,normal
1410452,38937,normal
1410596,40089,normal
1410741,39481,normal
1410886,39113,normal
1411031,39305,normal
1411176,39017,normal
1411372,31111,blink
