elapsed_ms,exg,label
3,30095,rest
24,29787,rest
44,29479,rest
65,29743,rest
85,29962,rest
105,30359,rest
125,30139,rest
145,30432,rest
165,31135,rest
185,29787,rest
205,30139,rest
225,30168,rest
245,29728,rest
265,29567,rest
285,29743,rest
305,29860,rest
325,29508,rest
345,29757,rest
365,31575,rest
385,29479,rest
405,29127,rest
425,34007,rest
445,29084,rest
465,29040,rest
485,29333,rest
505,28717,rest
525,29245,rest
545,28791,rest
565,30579,rest
585,28307,rest
605,28849,rest
625,29127,rest
645,29538,rest
665,29069,rest
730,29376,rest
751,28996,rest
771,29025,rest
791,28527,rest
811,28747,rest
831,30168,rest
851,29948,rest
871,28908,rest
891,29743,rest
911,29772,rest
931,28864,rest
951,28043,rest
971,27355,rest
991,21728,rest
1011,13127,rest
1031,13801,rest
1051,18680,rest
1071,26211,rest
1091,30212,rest
1111,33596,rest
1131,33978,rest
1151,33743,rest
1171,34330,rest
1191,33494,rest
1211,32937,rest
1231,33171,rest
1251,32878,rest
1271,32571,rest
1291,32410,rest
1311,32029,rest
1331,30945,rest
1351,31384,rest
1371,30945,rest
1394,29669,rest
1415,30666,rest
1435,31677,rest
1455,29640,rest
1475,29333,rest
1495,29420,rest
1515,29171,rest
1535,29391,rest
1555,29435,rest
1575,29127,rest
1595,28849,rest
1615,29025,rest
1635,31414,rest
1655,29406,rest
1675,30081,rest
1695,29684,rest
1715,29230,rest
1735,28791,rest
1755,27121,rest
1775,21230,rest
1795,12703,rest
1815,10124,rest
1835,12542,rest
1855,18784,rest
1875,25757,rest
1895,32175,rest
1915,34974,rest
1935,36732,rest
1955,38183,rest
1975,36439,rest
1995,35692,rest
2015,37025,rest
2035,35121,rest
2055,34754,rest
2075,34300,rest
2095,33215,rest
2115,34374,rest
2135,34168,rest
2155,31575,rest
2175,32791,rest
2195,32981,rest
2215,30095,rest
2235,29333,rest
2255,29171,rest
2275,29538,rest
2295,30959,rest
2315,29025,rest
2335,29171,rest
2355,30256,rest
2375,29713,rest
2395,28908,rest
2415,29054,rest
2435,28966,rest
2455,29918,rest
2475,28673,rest
2495,27750,rest
2515,29640,rest
2535,28644,rest
2555,28498,rest
2575,29098,rest
2595,30081,rest
2615,28454,rest
2635,29201,rest
2655,30491,rest
2678,30740,rest
2699,29098,rest
2719,29948,rest
2739,31208,rest
2759,29318,rest
2779,28805,rest
2799,29787,rest
2819,29215,rest
2839,29098,rest
2859,29391,rest
2879,30959,rest
2899,28761,rest
2919,28849,rest
2939,29801,rest
2959,28981,rest
2979,29596,rest
2999,29801,rest
3019,29567,rest
3039,28644,rest
3059,30037,rest
3079,30286,rest
3099,28278,rest
3119,28454,rest
3139,30124,rest
3159,28703,rest
3179,28439,rest
3199,28820,rest
3219,28556,rest
3239,29391,rest
3259,27560,rest
3279,30110,rest
3299,27399,rest
3319,27443,rest
3339,29713,rest
3359,29904,rest
3379,28791,rest
3399,30095,rest
3419,30242,rest
3439,29347,rest
3459,29772,rest
3479,31033,rest
3499,29713,rest
3519,28922,rest
3539,28834,rest
3559,30168,rest
3579,29362,rest
3599,29098,rest
3619,30095,rest
3639,28864,rest
3659,28102,rest
3679,28747,rest
3699,27384,rest
3719,23106,rest
3739,13127,rest
3759,10827,rest
3779,16776,rest
3799,26300,rest
3819,32336,rest
3839,33523,rest
3859,34842,rest
3879,38154,rest
3899,34007,rest
3919,33435,rest
3939,33817,rest
3962,32952,rest
3983,32527,rest
4003,31443,rest
4023,32351,rest
4043,32058,rest
4065,29860,rest
4132,29684,rest
4153,30051,rest
4173,30505,rest
4193,28629,rest
4213,28600,rest
4233,28234,rest
4253,28102,rest
4273,30286,rest
4293,30198,rest
4313,30168,rest
4333,28952,rest
4353,31912,rest
4373,29230,rest
4393,31794,rest
4413,28117,rest
4433,29186,rest
4453,30007,rest
4473,30388,rest
4493,30857,rest
4513,32322,rest
4533,30798,rest
4553,31941,rest
4573,28659,rest
4593,28732,rest
4613,14446,rest
4633,11105,rest
4653,16087,rest
4673,21918,rest
4693,30154,rest
4713,34754,rest
4733,35384,rest
4753,35575,rest
4773,34300,rest
4793,32864,rest
4813,32776,rest
4833,32834,rest
4853,33552,rest
4873,32498,rest
4893,31897,rest
4913,31838,rest
4933,31282,rest
4953,29743,rest
4973,30271,rest
4993,29743,rest
5013,29201,rest
5033,30154,rest
5053,29479,rest
5073,27545,rest
5093,27208,rest
5113,26813,rest
5133,28439,rest
5153,31633,rest
5173,27414,rest
5193,29084,rest
5213,27765,rest
5233,28688,rest
5253,27882,rest
5273,27560,rest
5329,28278,rest
5350,27750,rest
5370,29084,rest
5390,28043,rest
5410,30139,rest
5430,29875,rest
5450,28468,rest
5470,29464,rest
5490,29274,rest
5510,28000,rest
5530,30154,rest
5550,27487,rest
5570,30476,rest
5590,27165,rest
5610,30784,rest
5630,30256,rest
