elapsed_ms,exg,label
34011,38330,rest
34034,36849,rest
34055,37978,rest
34075,36161,rest
34095,34476,rest
34115,33669,rest
34135,33450,rest
34155,33259,rest
34175,32058,rest
34195,31150,rest
34215,31794,rest
34235,31619,rest
34255,30886,rest
34275,31179,rest
34295,30242,rest
34315,30476,rest
34335,31794,rest
34355,30901,rest
34375,31194,rest
34395,29406,rest
34415,29801,rest
34435,29259,rest
34455,29142,rest
34475,29772,rest
34495,28776,rest
34515,29318,rest
34535,28703,rest
34555,29230,rest
34575,28556,rest
34595,28834,rest
34615,27926,rest
34635,28864,rest
34655,28776,rest
34675,28996,rest
34695,28498,rest
34715,29303,rest
34735,29479,rest
34755,29684,rest
34775,27824,rest
34795,26300,rest
34815,22930,rest
34835,6724,rest
34855,4571,rest
34875,7149,rest
34895,15824,rest
34915,24600,rest
34935,32864,rest
34955,36512,rest
34975,38037,rest
34995,37376,rest
35015,38227,rest
35035,36029,rest
35055,36761,rest
35075,34769,rest
35095,34139,rest
35115,33758,rest
35135,31765,rest
35155,31912,rest
35175,31545,rest
35195,31047,rest
35215,30051,rest
35271,31033,rest
35292,29098,rest
35312,29948,rest
35332,29757,rest
35352,30110,rest
35372,30330,rest
35392,28600,rest
35412,29538,rest
35432,29831,rest
35452,33538,rest
35472,34740,rest
35492,32205,rest
35512,30754,rest
35532,28410,rest
35552,25069,rest
35572,8219,rest
35592,3853,rest
35612,8864,rest
35632,16615,rest
35652,27589,rest
35672,36410,rest
35692,38974,rest
35712,38696,rest
35732,38300,rest
35752,36820,rest
35772,35721,rest
35792,34183,rest
35812,33875,rest
35832,33420,rest
35852,33582,rest
35872,31985,rest
35892,32263,rest
35912,31384,rest
35932,30432,rest
35952,29640,rest
35972,30124,rest
35992,29230,rest
36012,29508,rest
36032,28996,rest
36052,30374,rest
36072,29098,rest
36092,28673,rest
36112,28908,rest
36132,28571,rest
36152,27267,rest
36172,26447,rest
36192,27340,rest
36212,28439,rest
36232,28073,rest
36252,27853,rest
36272,26798,rest
36292,24263,rest
36312,15165,rest
36332,4366,rest
36352,5362,rest
36372,11252,rest
36392,19179,rest
36412,27838,rest
36432,34696,rest
36452,38447,rest
36475,38461,rest
36496,38139,rest
36517,38051,rest
36537,39121,rest
36557,36878,rest
36577,35282,rest
36597,34652,rest
36617,33230,rest
36637,33098,rest
36657,32864,rest
36677,31956,rest
36697,31165,rest
36717,34813,rest
36737,34974,rest
36757,33802,rest
36777,33743,rest
36797,32263,rest
36817,31457,rest
36837,31018,rest
36860,30754,rest
36920,30227,rest
36941,29713,rest
36961,30520,rest
36981,29318,rest
37001,29713,rest
37021,29113,rest
37041,30330,rest
37061,30110,rest
37081,29215,rest
37101,30593,rest
37121,29259,rest
37141,29787,rest
37161,30374,rest
37181,30198,rest
37201,29918,rest
37221,28615,rest
37241,28849,rest
37261,29523,rest
37281,29289,rest
37301,29450,rest
37321,30403,rest
37341,29757,rest
37361,30315,rest
37381,30066,rest
37401,27692,rest
37421,27750,rest
37441,29069,rest
37461,29127,rest
37481,29582,rest
37501,30066,rest
37521,31531,rest
37541,29567,rest
37561,28791,rest
37581,25420,rest
37601,24688,rest
37621,27443,rest
37641,28556,rest
37661,28585,rest
37681,28483,rest
37701,28380,rest
37721,29494,rest
37744,28893,rest
37765,29611,rest
37786,28791,rest
37806,33523,rest
37826,34666,rest
37846,33479,rest
37872,31487,rest
37892,30535,rest
37912,29933,rest
37932,29699,rest
37952,29889,rest
37972,29728,rest
37992,28791,rest
38012,29259,rest
38032,28410,rest
38052,29215,rest
38072,28454,rest
38092,29494,rest
38112,28703,rest
38132,28249,rest
38152,29084,rest
38172,28878,rest
38192,29376,rest
38212,28922,rest
38232,30066,rest
38252,27970,rest
38272,28922,rest
38292,28673,rest
38312,29054,rest
38332,28468,rest
38352,29069,rest
38372,28395,rest
38392,29127,rest
38412,28615,rest
38432,29435,rest
38452,28688,rest
38472,28878,rest
38492,28659,rest
38512,28512,rest
38533,29391,rest
38553,29215,rest
38573,30330,rest
38593,29171,rest
38613,29787,rest
38633,29289,rest
38653,29157,rest
38673,29801,rest
38693,29171,rest
38713,28527,rest
38733,29611,rest
38753,29157,rest
38773,28615,rest
38793,28849,rest
38813,28527,rest
38833,29040,rest
38853,29655,rest
38873,29025,rest
38893,28102,rest
38913,29508,rest
38933,28615,rest
38956,29171,rest
38977,29772,rest
38997,29948,rest
39017,29655,rest
39037,29918,rest
39057,29904,rest
39077,29201,rest
39097,26930,rest
39117,26579,rest
39137,27663,rest
39157,28527,rest
39177,28615,rest
39197,28483,rest
39217,27692,rest
39237,26432,rest
39257,26065,rest
39278,14534,rest
39299,13757,rest
39320,23941,rest
39341,30330,rest
39362,33142,rest
39383,32864,rest
39404,33669,rest
39425,32776,rest
39446,32161,rest
39467,32000,rest
39488,31355,blink
39509,31165,blink
39530,30476,blink
39551,31179,blink
39572,30579,blink
39593,31399,blink
39614,30696,blink
39635,30740,blink
39656,30549,blink
39677,30637,blink
39698,30549,blink
39719,30374,blink
39740,30183,blink
39761,29303,blink
39782,29523,blink
39803,28922,blink
39824,29142,blink
39845,28410,blink
39866,28278,blink
39887,28395,blink
39908,28483,blink
39929,28996,blink
39950,29831,blink
39971,29435,blink
39992,29699,blink
40013,29391,blink
40034,29289,blink
40055,29743,blink
40076,30344,blink
40097,29728,blink
40118,30007,blink
40139,29918,blink
40160,30901,blink
40181,29201,blink
40237,27575,blink
40258,17801,blink
40278,6460,blink
40298,6710,blink
40319,14622,blink
40339,25655,blink
40360,32878,blink
40381,36161,blink
40402,36571,blink
40422,36468,blink
40442,36263,blink
40462,35956,blink
40482,34989,blink
40502,34403,blink
40522,33113,blink
40542,32410,blink
40562,32131,blink
40582,32161,blink
40602,31472,blink
40622,31370,blink
40642,30623,blink
40662,30681,blink
40682,31282,blink
40703,30227,blink
40723,29186,blink
40743,30403,blink
40763,29611,blink
40783,29362,blink
40803,28190,blink
40823,27707,blink
40843,28556,blink
40863,29303,blink
40883,29435,blink
40903,28351,blink
40923,29157,blink
40943,29933,blink
40963,28820,blink
40983,28908,blink
41006,28380,blink
41061,29567,blink
41082,28996,blink
41103,29303,blink
41123,28996,blink
41143,29626,blink
41163,28849,blink
41183,28014,blink
41203,28820,blink
41223,29127,blink
41243,29171,blink
41263,29274,blink
41283,28615,blink
41303,29582,blink
41323,28585,blink
41343,28600,blink
41363,27985,blink
41383,26813,blink
41403,22637,blink
41423,10534,blink
41443,8791,blink
41466,17259,blink
41487,26491,blink
41508,31311,blink
41528,33963,blink
41549,34330,blink
41570,34242,blink
41591,34300,blink
41611,34520,blink
41631,33934,blink
41651,34154,blink
41671,33040,blink
41691,32483,blink
41711,32542,blink
41731,32117,blink
41751,31780,blink
41771,31238,blink
41791,31208,blink
41811,30828,blink
41831,31208,blink
41851,31663,blink
41871,30754,blink
41891,30403,blink
41911,30696,blink
41931,29875,blink
41951,30271,blink
41971,28820,blink
41991,27721,blink
42011,19604,blink
42031,7956,blink
42051,8043,blink
42071,15282,blink
42091,24102,blink
42111,31604,blink
42132,36102,blink
42153,36717,blink
42174,36336,blink
42194,36732,blink
42214,35985,blink
42234,35414,blink
42254,35062,blink
42274,33788,blink
42294,33743,blink
42314,32688,blink
42334,32424,blink
42354,32190,blink
42374,31501,blink
42394,31223,blink
42414,31091,blink
42434,31003,blink
