iter	Passed	Remaining
0	17	35446
1	31	31916
2	46	30937
3	61	30646
4	78	31219
5	95	31820
6	110	31548
7	125	31228
8	137	30380
9	152	30320
10	166	30169
11	179	29762
12	192	29467
13	205	29118
14	219	29036
15	234	29058
16	248	28939
17	262	28943
18	277	28982
19	291	28847
20	306	28909
21	321	28869
22	337	29000
23	352	29002
24	367	29040
25	381	28958
26	396	28991
27	414	29209
28	428	29139
29	442	29079
30	456	28971
31	471	28984
32	482	28762
33	498	28829
34	512	28776
35	528	28824
36	543	28851
37	557	28791
38	572	28761
39	585	28691
40	606	28988
41	622	29037
42	639	29092
43	653	29068
44	668	29022
45	682	28989
46	701	29133
47	717	29159
48	731	29108
49	748	29202
50	762	29122
51	775	29046
52	791	29066
53	805	29018
54	821	29037
55	835	29000
56	849	28957
57	866	29013
58	881	29002
59	896	28976
60	910	28933
61	923	28851
62	935	28752
63	949	28730
64	963	28671
65	978	28666
66	992	28645
67	1007	28614
68	1021	28596
69	1035	28537
70	1050	28529
71	1063	28473
72	1078	28462
73	1093	28462
74	1108	28448
75	1123	28452
76	1139	28445
77	1151	28376
78	1168	28405
79	1181	28351
80	1194	28295
81	1209	28292
82	1224	28285
83	1238	28248
84	1251	28198
85	1265	28153
86	1277	28097
87	1290	28046
88	1305	28034
89	1318	27990
90	1332	27958
91	1350	28004
92	1363	27962
93	1377	27933
94	1392	27926
95	1408	27932
96	1421	27889
97	1435	27869
98	1451	27864
99	1465	27837
100	1479	27813
101	1488	27700
102	1501	27659
103	1517	27656
104	1531	27645
105	1546	27634
106	1561	27619
107	1575	27606
108	1592	27629
109	1605	27590
110	1620	27576
111	1634	27552
112	1648	27523
113	1664	27540
114	1680	27543
115	1694	27522
116	1708	27498
117	1723	27494
118	1740	27507
119	1754	27494
120	1769	27472
121	1783	27451
122	1797	27426
123	1810	27395
124	1825	27380
125	1840	27368
126	1854	27345
127	1866	27298
128	1879	27260
129	1891	27209
130	1902	27137
131	1914	27094
132	1926	27048
133	1937	26978
134	1949	26930
135	1959	26859
136	1973	26838
137	1987	26814
138	2003	26819
139	2019	26827
140	2035	26838
141	2051	26843
142	2066	26834
143	2080	26814
144	2094	26796
145	2107	26758
146	2123	26768
147	2139	26777
148	2155	26777
149	2168	26747
150	2181	26712
151	2194	26680
152	2208	26665
153	2223	26649
154	2237	26631
155	2254	26648
156	2266	26609
157	2279	26573
158	2292	26549
159	2305	26516
160	2319	26488
161	2332	26462
162	2346	26439
163	2357	26390
164	2369	26347
165	2383	26333
166	2399	26333
167	2413	26322
168	2429	26318
169	2444	26311
170	2457	26280
171	2470	26253
172	2482	26217
173	2496	26194
174	2509	26165
175	2521	26130
176	2533	26098
177	2548	26088
178	2562	26063
179	2576	26048
180	2589	26021
181	2602	25995
182	2614	25961
183	2629	25950
184	2644	25943
185	2657	25919
186	2671	25896
187	2682	25858
188	2693	25807
189	2705	25776
190	2719	25759
191	2732	25734
192	2745	25708
193	2758	25681
194	2770	25641
195	2783	25621
196	2796	25592
197	2808	25560
198	2822	25545
199	2836	25529
200	2850	25509
201	2864	25495
202	2878	25484
203	2891	25457
204	2903	25423
205	2917	25410
206	2931	25389
207	2946	25386
208	2958	25353
209	2971	25331
210	2984	25306
211	2998	25291
212	3011	25265
213	3023	25235
214	3037	25220
215	3049	25189
216	3063	25172
217	3078	25166
218	3091	25139
219	3106	25135
220	3120	25117
221	3134	25101
222	3147	25078
223	3162	25075
224	3176	25061
225	3190	25041
226	3205	25037
227	3219	25021
228	3233	25005
229	3246	24982
230	3258	24956
231	3272	24937
232	3286	24921
233	3299	24899
234	3313	24886
235	3326	24866
236	3341	24856
237	3358	24860
238	3371	24839
239	3384	24819
240	3397	24794
241	3411	24780
242	3423	24751
243	3438	24742
244	3450	24717
245	3465	24707
246	3479	24693
247	3492	24676
248	3508	24671
249	3522	24659
250	3536	24642
251	3548	24616
252	3559	24579
253	3569	24537
254	3583	24523
255	3597	24507
256	3616	24526
